seg_count,atl07_dt,h_surf,w_gauss,fpb_corr,atl07_h,atl07_w,atl07_fpb
32481,38060912.46495784,0.025330406622138035,0.07699999883770943,0.01892237085,0.024624325,0.08,0.01890928
32482,38060912.46594444,0.031338030484191925,0.08399999737739564,0.020560513425,0.034462035,0.08499999,0.018538438
32483,38060912.46715652,0.044898149288885136,0.07799999862909317,0.01639698156,0.045620468,0.078,0.016385637
32484,38060912.46853555,0.06033471887413189,0.07799999862909317,0.014692693302000001,0.060343783,0.077,0.014682529
32485,38060912.46984139,0.04135786995181956,0.08199999779462815,0.0157052283,0.047202278,0.081999995,0.015353675
32486,38060912.47105828,0.02697975088538307,0.09199999570846558,0.016049445675,0.026981091,0.091,0.016038343
32487,38060912.4720822,0.03849902886205747,0.09199999570846558,0.018551271899999996,0.038513932,0.091,0.018538438
32488,38060912.47323556,0.045176449124189055,0.08299999758601188,0.015658219079999997,0.04519796,0.081999995,0.015647387
32489,38060912.47430458,0.03224225889199772,0.07499999832361937,0.018551271899999996,0.03225882,0.073,0.018538438
32490,38060912.47537579,0.056718249258272735,0.09099999591708183,0.020560513425,0.056730226,0.089999996,0.02054629
32491,38060912.476552844,0.13004547973348224,0.1629999980330467,0.02027169111,0.13106355,0.163,0.020257667
32492,38060912.477540106,0.18612953981364022,0.20899999290704727,0.020679207164999998,0.18714501,0.20899999,0.0206649
32493,38060912.47850382,0.1787417275352956,0.4669999822974205,0.018633716414999998,0.1797597,0.466,0.018620826
32494,38060912.4796061,-0.09562201196615217,0.8789999961853028,0.017101944929999998,0.29241693,0.881,0.017090114
32495,38060912.48067693,0.27095927403130027,0.32699999660253526,0.018144531615,0.27197337,0.327,0.018131979
32496,38060912.4818028,0.22572692899189128,0.26799999475479125,0.01655712867,0.24096291,0.273,0.01625071
32497,38060912.48263348,0.20791164263387785,0.2239999905228615,0.018048800535,0.2060368,0.234,0.018036313
32498,38060912.48361476,0.23834316399944022,0.24699999317526816,0.020009229285,0.23936622,0.247,0.019995386
32499,38060912.48455321,0.262514470406531,0.23799999356269835,0.020699325315,0.26353678,0.23799999,0.020685006
32500,38060912.485445656,0.2386448713570415,0.24399999678134918,0.01988371512,0.23347457,0.239,0.02124236
32501,38060912.48624484,0.2829813244372188,0.28399998843669894,0.01988371512,0.2779356,0.28199998,0.019869959
32502,38060912.48723715,0.3130730590001205,0.18699999079108237,0.01899749244,0.3130862,0.18699999,0.01898435
32503,38060912.4881121,0.29060399342482324,0.1939999893307686,0.02246243622,0.2916279,0.19299999,0.022446897
32504,38060912.48903585,0.32489294613912634,0.285999995470047,0.01720423308,0.3249128,0.28599998,0.01719233
32505,38060912.48993712,0.40649219571692985,0.3559999972581863,0.01661832177,0.4216602,0.358,0.016606824
32506,38060912.49101757,0.28380858355518424,0.36099999994039533,0.018692143845,0.28483373,0.36,0.018679213
32507,38060912.49192858,0.12191307205860902,0.20999999344348907,0.02246243622,0.12153532,0.20899999,0.022843204
32508,38060912.492799476,0.1159327210994574,0.1939999893307686,0.02520054,0.11695607,0.19399999,0.025183106
32509,38060912.493754156,0.12747973514617694,0.22199999094009398,0.023087898885,0.12575956,0.235,0.021664942
32510,38060912.494876556,0.07588221780458504,0.13199999928474426,0.023073746865,0.07717012,0.129,0.022220567
32511,38060912.49576709,0.06263092188839625,0.08399999737739564,0.022634416905000003,0.06266411,0.083,0.022618758
32512,38060912.49683418,0.05029332434106415,0.08699999675154686,0.020158711995,0.050066613,0.088,0.020144766
32513,38060912.4980528,0.05358336522391749,0.10999999567866325,0.02142537915,0.055606347,0.103999995,0.019747239
32514,38060912.499033906,0.09908490109393675,0.10999999567866325,0.022701283515,0.099100254,0.109,0.022685578
32515,38060912.499970764,0.1804425033431034,0.20099999532103538,0.019901258249999998,0.18145312,0.19999999,0.01988749
32516,38060912.501058325,0.41269594816820554,0.30299999862909316,0.017415197804999998,0.41370934,0.302,0.01740315
32517,38060912.50191776,0.37737033694373334,0.2289999969303608,0.023256712859999997,0.37838605,0.229,0.023240624
32518,38060912.50277701,0.2816390546268748,0.1899999901652336,0.022773787169999997,0.2826494,0.19199999,0.021575091
32519,38060912.50351973,0.2342064828006487,0.19299998953938485,0.024836128545,0.23422107,0.19299999,0.024818948
32520,38060912.5044093,0.2022896038516775,0.22199999094009398,0.020598938114999996,0.20330504,0.22099999,0.020584688
32521,38060912.505207874,0.13897785682914954,0.17299999371171,0.02210890773,0.13835631,0.184,0.021717966
32522,38060912.50639072,0.18689791563864766,0.16099999696016312,0.021919778325,0.1879149,0.16,0.021904614
32523,38060912.507396646,0.23347850354018806,0.115999998152256,0.024070737644999996,0.23350233,0.114999995,0.024054086
32524,38060912.50836971,0.23067665412524718,0.15299999788403512,0.023073746865,0.23069754,0.152,0.023057785
32525,38060912.509389445,0.21444657989333216,0.19599999636411666,0.021413710485,0.21137546,0.20099999,0.021807823
32526,38060912.51044801,0.13718459143796125,0.1899999901652336,0.024360859920000002,0.14314285,0.19299999,0.023486186
32527,38060912.511330046,0.08733186277703098,0.1559999942779541,0.023927665844999998,0.08557595,0.15599999,0.023911113
32528,38060912.51244103,0.07889578728725954,0.12299999669194221,0.021008253705,0.077724054,0.11399999,0.02099372
32529,38060912.51366649,0.0457875400191643,0.11099999584257603,0.022767617985000002,0.048004083,0.109,0.021904614
32530,38060912.514687486,0.03935277322059605,0.1119999960064888,0.021846359505,0.039384343,0.110999994,0.021831246
32531,38060912.515783444,0.03550169503689116,0.09099999591708183,0.01936699377,0.03826508,0.081999995,0.018577075
32532,38060912.516962014,0.05015333910385067,0.08699999675154686,0.015344314454999999,0.050163165,0.08499999,0.015333699
32533,38060912.51802916,0.05187127378477463,0.0809999980032444,0.016946479559999998,0.0545186,0.078999996,0.016607627
32534,38060912.51900522,0.054103134420276255,0.07699999883770943,0.020840309339999998,0.054114558,0.076,0.020825893
32535,38060912.51999518,0.0737482709856021,0.09799999743700027,0.023135494995,0.07859306,0.098,0.023119489
32536,38060912.521050766,0.09155129277831087,0.1009999979287386,0.021846359505,0.09155038,0.099999994,0.021831246
